date,year,month,month_name,quarter
2024-01-01,2024,1,January,Q1
2024-02-01,2024,2,February,Q1
2024-03-01,2024,3,March,Q1
2024-04-01,2024,4,April,Q2
2024-05-01,2024,5,May,Q2
2024-06-01,2024,6,June,Q2
2024-07-01,2024,7,July,Q3
2024-08-01,2024,8,August,Q3
2024-09-01,2024,9,September,Q3
2024-10-01,2024,10,October,Q4
2024-11-01,2024,11,November,Q4
2024-12-01,2024,12,December,Q4
2025-01-01,2025,1,January,Q1
2025-02-01,2025,2,February,Q1
2025-03-01,2025,3,March,Q1
2025-04-01,2025,4,April,Q2
2025-05-01,2025,5,May,Q2
2025-06-01,2025,6,June,Q2
2025-07-01,2025,7,July,Q3
2025-08-01,2025,8,August,Q3
2025-09-01,2025,9,September,Q3
2025-10-01,2025,10,October,Q4
2025-11-01,2025,11,November,Q4
2025-12-01,2025,12,December,Q4
2026-01-01,2026,1,January,Q1
2026-02-01,2026,2,February,Q1
2026-03-01,2026,3,March,Q1
2026-04-01,2026,4,April,Q2
2026-05-01,2026,5,May,Q2
2026-06-01,2026,6,June,Q2
2026-07-01,2026,7,July,Q3
2026-08-01,2026,8,August,Q3
2026-09-01,2026,9,September,Q3
2026-10-01,2026,10,October,Q4
2026-11-01,2026,11,November,Q4
2026-12-01,2026,12,December,Q4
