forecast_month,product_id,customer_id,forecast_quantity,forecast_version
2025-01-01,101,1,1644,Current
2025-01-01,101,2,866,Current
2025-01-01,101,3,1328,Current
2025-01-01,101,4,1278,Current
2025-01-01,101,5,779,Current
2025-01-01,101,6,769,Current
2025-01-01,101,7,535,Current
2025-01-01,101,8,1028,Current
2025-01-01,101,9,1964,Current
2025-01-01,101,10,1234,Current
2025-01-01,101,11,1302,Current
2025-01-01,101,12,1144,Current
2025-01-01,101,13,475,Current
2025-01-01,101,14,942,Current
2025-01-01,101,15,642,Current
2025-01-01,102,1,1509,Current
2025-01-01,102,2,673,Current
2025-01-01,102,3,1031,Current
2025-01-01,102,4,1259,Current
2025-01-01,102,5,677,Current
2025-01-01,102,6,1070,Current
2025-01-01,102,7,699,Current
2025-01-01,102,8,828,Current
2025-01-01,102,9,1195,Current
2025-01-01,102,10,1016,Current
2025-01-01,102,11,961,Current
2025-01-01,102,12,983,Current
2025-01-01,102,13,511,Current
2025-01-01,102,14,964,Current
2025-01-01,102,15,800,Current
2025-01-01,103,1,1494,Current
2025-01-01,103,2,634,Current
2025-01-01,103,3,1029,Current
2025-01-01,103,4,1003,Current
2025-01-01,103,5,522,Current
2025-01-01,103,6,698,Current
2025-01-01,103,7,735,Current
2025-01-01,103,8,741,Current
2025-01-01,103,9,1445,Current
2025-01-01,103,10,900,Current
2025-01-01,103,11,1055,Current
2025-01-01,103,12,912,Current
2025-01-01,103,13,454,Current
2025-01-01,103,14,673,Current
2025-01-01,103,15,567,Current
2025-01-01,104,1,1747,Current
2025-01-01,104,2,739,Current
2025-01-01,104,3,1150,Current
2025-01-01,104,4,1097,Current
2025-01-01,104,5,636,Current
2025-01-01,104,6,628,Current
2025-01-01,104,7,723,Current
2025-01-01,104,8,687,Current
2025-01-01,104,9,1215,Current
2025-01-01,104,10,1110,Current
2025-01-01,104,11,1038,Current
2025-01-01,104,12,825,Current
2025-01-01,104,13,611,Current
2025-01-01,104,14,795,Current
2025-01-01,104,15,747,Current
2025-01-01,105,1,1604,Current
2025-01-01,105,2,756,Current
2025-01-01,105,3,973,Current
2025-01-01,105,4,1026,Current
2025-01-01,105,5,556,Current
2025-01-01,105,6,563,Current
2025-01-01,105,7,632,Current
2025-01-01,105,8,676,Current
2025-01-01,105,9,1205,Current
2025-01-01,105,10,1123,Current
2025-01-01,105,11,1140,Current
2025-01-01,105,12,918,Current
2025-01-01,105,13,341,Current
2025-01-01,105,14,1018,Current
2025-01-01,105,15,660,Current
2025-01-01,106,1,1615,Current
2025-01-01,106,2,596,Current
2025-01-01,106,3,909,Current
2025-01-01,106,4,970,Current
2025-01-01,106,5,822,Current
2025-01-01,106,6,641,Current
2025-01-01,106,7,503,Current
2025-01-01,106,8,958,Current
2025-01-01,106,9,1350,Current
2025-01-01,106,10,1126,Current
2025-01-01,106,11,939,Current
2025-01-01,106,12,820,Current
2025-01-01,106,13,435,Current
2025-01-01,106,14,603,Current
2025-01-01,106,15,830,Current
2025-01-01,108,1,1561,Current
2025-01-01,108,2,771,Current
2025-01-01,108,3,1057,Current
2025-01-01,108,4,1150,Current
2025-01-01,108,5,571,Current
2025-01-01,108,6,819,Current
2025-01-01,108,7,656,Current
2025-01-01,108,8,767,Current
2025-01-01,108,9,1236,Current
2025-01-01,108,10,1097,Current
2025-01-01,108,11,1164,Current
2025-01-01,108,12,879,Current
2025-01-01,108,13,458,Current
2025-01-01,108,14,811,Current
2025-01-01,108,15,608,Current
2025-01-01,109,1,914,Current
2025-01-01,109,2,487,Current
2025-01-01,109,3,653,Current
2025-01-01,109,4,856,Current
2025-01-01,109,5,904,Current
2025-01-01,109,6,453,Current
2025-01-01,109,7,346,Current
2025-01-01,109,8,1053,Current
2025-01-01,109,9,979,Current
2025-01-01,109,10,773,Current
2025-01-01,109,11,725,Current
2025-01-01,109,12,639,Current
2025-01-01,109,13,280,Current
2025-01-01,109,14,1293,Current
2025-01-01,109,15,457,Current
2025-01-01,110,1,995,Current
2025-01-01,110,2,510,Current
2025-01-01,110,3,695,Current
2025-01-01,110,4,890,Current
2025-01-01,110,5,406,Current
2025-01-01,110,6,529,Current
2025-01-01,110,7,389,Current
2025-01-01,110,8,880,Current
2025-01-01,110,9,955,Current
2025-01-01,110,10,831,Current
2025-01-01,110,11,699,Current
2025-01-01,110,12,1017,Current
2025-01-01,110,13,304,Current
2025-01-01,110,14,553,Current
2025-01-01,110,15,415,Current
2025-01-01,111,1,1391,Current
2025-01-01,111,2,463,Current
2025-01-01,111,3,849,Current
2025-01-01,111,4,711,Current
2025-01-01,111,5,492,Current
2025-01-01,111,6,957,Current
2025-01-01,111,7,1124,Current
2025-01-01,111,8,625,Current
2025-01-01,111,9,914,Current
2025-01-01,111,10,1074,Current
2025-01-01,111,11,701,Current
2025-01-01,111,12,802,Current
2025-01-01,111,13,324,Current
2025-01-01,111,14,621,Current
2025-01-01,111,15,834,Current
2025-01-01,112,1,1151,Current
2025-01-01,112,2,414,Current
2025-01-01,112,3,726,Current
2025-01-01,112,4,752,Current
2025-01-01,112,5,778,Current
2025-01-01,112,6,535,Current
2025-01-01,112,7,847,Current
2025-01-01,112,8,513,Current
2025-01-01,112,9,1405,Current
2025-01-01,112,10,751,Current
2025-01-01,112,11,1914,Current
2025-01-01,112,12,634,Current
2025-01-01,112,13,304,Current
2025-01-01,112,14,650,Current
2025-01-01,112,15,450,Current
2025-01-01,113,1,1931,Current
2025-01-01,113,2,536,Current
2025-01-01,113,3,608,Current
2025-01-01,113,4,1420,Current
2025-01-01,113,5,674,Current
2025-01-01,113,6,396,Current
2025-01-01,113,7,810,Current
2025-01-01,113,8,1237,Current
2025-01-01,113,9,776,Current
2025-01-01,113,10,698,Current
2025-01-01,113,11,881,Current
2025-01-01,113,12,677,Current
2025-01-01,113,13,637,Current
2025-01-01,113,14,565,Current
2025-01-01,113,15,888,Current
2025-01-01,114,1,1089,Current
2025-01-01,114,2,494,Current
2025-01-01,114,3,613,Current
2025-01-01,114,4,1226,Current
2025-01-01,114,5,448,Current
2025-01-01,114,6,533,Current
2025-01-01,114,7,338,Current
2025-01-01,114,8,388,Current
2025-01-01,114,9,915,Current
2025-01-01,114,10,662,Current
2025-01-01,114,11,701,Current
2025-01-01,114,12,690,Current
2025-01-01,114,13,304,Current
2025-01-01,114,14,916,Current
2025-01-01,114,15,414,Current
2025-01-01,116,1,995,Current
2025-01-01,116,2,386,Current
2025-01-01,116,3,622,Current
2025-01-01,116,4,762,Current
2025-01-01,116,5,316,Current
2025-01-01,116,6,453,Current
2025-01-01,116,7,479,Current
2025-01-01,116,8,415,Current
2025-01-01,116,9,761,Current
2025-01-01,116,10,1436,Current
2025-01-01,116,11,805,Current
2025-01-01,116,12,551,Current
2025-01-01,116,13,304,Current
2025-01-01,116,14,448,Current
2025-01-01,116,15,800,Current
2025-01-01,117,1,694,Current
2025-01-01,117,2,313,Current
2025-01-01,117,3,439,Current
2025-01-01,117,4,509,Current
2025-01-01,117,5,291,Current
2025-01-01,117,6,314,Current
2025-01-01,117,7,344,Current
2025-01-01,117,8,374,Current
2025-01-01,117,9,779,Current
2025-01-01,117,10,623,Current
2025-01-01,117,11,426,Current
2025-01-01,117,12,407,Current
2025-01-01,117,13,211,Current
2025-01-01,117,14,338,Current
2025-01-01,117,15,273,Current
2025-01-01,118,1,1054,Current
2025-01-01,118,2,319,Current
2025-01-01,118,3,476,Current
2025-01-01,118,4,540,Current
2025-01-01,118,5,268,Current
2025-01-01,118,6,357,Current
2025-01-01,118,7,286,Current
2025-01-01,118,8,379,Current
2025-01-01,118,9,580,Current
2025-01-01,118,10,516,Current
2025-01-01,118,11,500,Current
2025-01-01,118,12,390,Current
2025-01-01,118,13,306,Current
2025-01-01,118,14,372,Current
2025-01-01,118,15,269,Current
2025-01-01,119,1,718,Current
2025-01-01,119,2,331,Current
2025-01-01,119,3,450,Current
2025-01-01,119,4,601,Current
2025-01-01,119,5,304,Current
2025-01-01,119,6,355,Current
2025-01-01,119,7,271,Current
2025-01-01,119,8,367,Current
2025-01-01,119,9,836,Current
2025-01-01,119,10,481,Current
2025-01-01,119,11,495,Current
2025-01-01,119,12,604,Current
2025-01-01,119,13,209,Current
2025-01-01,119,14,351,Current
2025-01-01,119,15,372,Current
2025-01-01,120,1,762,Current
2025-01-01,120,2,358,Current
2025-01-01,120,3,533,Current
2025-01-01,120,4,489,Current
2025-01-01,120,5,285,Current
2025-01-01,120,6,331,Current
2025-01-01,120,7,355,Current
2025-01-01,120,8,295,Current
2025-01-01,120,9,576,Current
2025-01-01,120,10,491,Current
2025-01-01,120,11,544,Current
2025-01-01,120,12,504,Current
2025-01-01,120,13,198,Current
